name,steam_appid,required_age,controller_support,supported_languages,developers,publishers,platforms,categories,genres,release_date,followers,estimated_wishlists,tags,price,estimated_revenue,currency,owners,average_forever,average_2weeks,median_forever,median_2weeks,concurrent_users,total_positive,total_negative,total_reviews
RichBroker,2124240,0,none,English,Emergence Games,Emergence Games,windows,"Single-player,Family Sharing","Casual,Indie,Simulation,Strategy","Nov 3, 2022",41,492,"Simulation,Strategy,Building,Casual,Management,Colorful,Relaxing,Procedural Generation,Grid-Based Movement,Top-Down,Indie,Resource Management,Singleplayer,Arcade",9.99,237,USD,"0 .. 20,000",0,0,0,0,0,0,1,1
完美恋人~fragile love,2773520,0,none,Simplified Chinese,XUWULE制作组,XUWULE制作组,windows,"Single-player,Family Sharing","Adventure,Casual,Indie,RPG","Aug 11, 2024",587,7044,"Visual Novel,LGBTQ+,Female Protagonist,Casual,Dating Sim,Romance,RPG,Story Rich,Word Game,JRPG,Multiple Endings,Adventure,2D,2D Platformer,Anime,Singleplayer,Indie,Sexual Content",3,11281,USD,"0 .. 20,000",0,0,0,0,1,138,20,158
疯狂西部/INSANE WEST,1063820,0,none,"English, Simplified Chinese",JIGUANGGamestudio,JIGUANGGamestudio,windows,"Single-player,Family Sharing","Adventure,Casual,Indie","May 21, 2019",40,480,"Indie,Casual,Adventure",1.99,47,USD,"0 .. 20,000",0,0,0,0,0,1,0,1
Pathologic 2,505230,0,full,"English, Russian",Ice-Pick Lodge,tinyBuild,windows,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Family Sharing","Adventure,Indie,RPG","May 23, 2019",58899,706788,"Story Rich,Atmospheric,Choices Matter,Difficult,RPG,Survival,Detective,Singleplayer,Immersive Sim,Psychological Horror,Surreal,Survival Horror,Open World,Dystopian ,Adventure,Indie,Dark,First-Person,CRPG,Isometric",34.99,6876115,USD,"500,000 .. 1,000,000",0,0,0,0,82,7637,620,8257
The Zombie's Horror,1338090,0,none,English,Bar Yaari,Bar Yaari,windows,"Single-player,Family Sharing","Action,RPG","Jun 19, 2020",22,264,"FPS,RPG,Survival Horror,Action,Fighting,Shooter,Action RPG,First-Person,3D,Horror,Violent,Combat,Singleplayer,Zombies",3.99,189,USD,"100,000 .. 200,000",0,0,0,0,0,2,0,2
Homestar Runner: Halloween Hide n' Seek,2429100,0,none,English,Videlectrix,Videlectrix,"windows,mac","Single-player,Family Sharing","Adventure,Indie","Aug 6, 2023",355,4260,"Point & Click,Adventure,Comedy,Puzzle,2D,Cartoony,Pixel Graphics,Old School,Singleplayer,Indie,Funny,Parody ",1.99,4878,USD,"0 .. 20,000",0,0,0,0,0,103,0,103
Korean Rail Driving Tour-LRT Uijeongbu,2823120,0,none,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese",14Dimension Enterprise,14Dimension Enterprise,windows,"Single-player,Partial Controller Support,Steam Cloud,Family Sharing",Simulation,"Mar 1, 2024",47,564,"Simulation,Arcade,Automobile Sim,2D,Realistic,Trains,Controller,Singleplayer,Driving",5.99,285,USD,"0 .. 20,000",0,0,0,0,0,1,1,2
Human Fall Flat VR,2777220,0,none,"English, Spanish - Spain, French, German, Japanese, Korean, Russian, Simplified Chinese, Traditional Chinese",No Brakes Games,Curve Games,windows,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,VR Only,Steam Cloud,Family Sharing","Action,Adventure,Casual,Indie,Simulation","Oct 31, 2024",1536,18432,"Adventure,Casual,Simulation,Platformer,Puzzle,Sandbox,3D Platformer,VR,Puzzle Platformer,Comedy,Funny,Parkour,Character Customization,Physics,Multiplayer,Indie,Singleplayer,Online Co-Op,Cute,Party",12.99,30297,USD,"0 .. 20,000",0,0,0,0,0,48,50,98
A Night On The Farm,2598340,0,full,English,Frozen Flame Interactive,Frozen Flame Interactive,windows,"Single-player,Steam Achievements,Full controller support,Family Sharing",Adventure,"Feb 13, 2024",106,1272,"Adventure,Walking Simulator,Exploration,First-Person,1990's,Atmospheric,Horror,Investigation,Mystery,Thriller,Multiple Endings,Singleplayer,Retro",4.99,2137,USD,"0 .. 20,000",0,0,0,0,0,16,2,18
Grandmaster Chess,1658770,0,none,English,Capstone Software,Ziggurat,windows,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Remote Play Together,Family Sharing",Strategy,"Sep 3, 2021",77,924,"Strategy,Chess,Board Game,Tabletop,Turn-Based Strategy,Retro,Pixel Graphics,2D,3D,Grid-Based Movement,Abstract,Colorful,Top-Down,Family Friendly,Logic,Tactical,PvP,Multiplayer,Singleplayer,Asynchronous Multiplayer",6.99,998,USD,"0 .. 20,000",0,0,0,0,1,6,0,6
